,Time,Bath Bedroom Door contact,Bathroom Motion motion,Living Room Motion motion,Main door temperature,Living Bedroom Door temperature,Bath Bedroom Door temperature,Living Bedroom Door contact,Main door contact,Kitchen Motion motion,bedroom,kitchen,bathroom
4,810,0,0,0,63,72,70,0,0,0,0,0,0
4,815,0,0,0,63,72,70,0,0,0,0,0,0
4,820,0,0,0,63,72,70,0,0,0,0,0,0
4,825,0,0,0,63,72,70,0,0,0,0,0,0
4,830,0,0,0,63,72,70,0,0,0,0,0,0
4,835,0,0,0,63,72,70,0,0,0,0,0,0
4,840,0,0,0,63,72,70,0,0,0,0,0,0
4,845,0,0,0,63,72,70,0,0,0,0,0,0
4,850,0,0,0,63,72,70,0,0,0,0,0,0
4,855,0,0,0,63,72,70,0,0,0,0,0,0
4,860,0,0,0,63,72,70,0,0,0,0,0,0
4,865,0,0,0,63,72,70,0,0,0,0,0,0
4,870,0,0,0,63,72,70,0,0,0,0,0,0
4,875,0,0,0,63,72,70,0,0,0,0,0,0
4,880,0,0,0,63,72,70,0,0,0,0,0,0
4,885,0,0,0,63,72,70,0,0,0,0,0,0
4,890,0,0,0,63,72,70,0,0,0,0,0,0
4,895,0,0,0,63,72,70,0,0,0,0,0,0
4,900,0,0,0,63,72,70,0,0,0,0,0,0
4,905,0,0,0,63,72,70,0,0,0,0,0,0
4,910,0,0,0,63,72,70,0,0,0,0,0,0
4,915,0,0,0,63,72,70,0,0,0,0,0,0
4,920,0,0,0,63,72,70,0,0,0,0,0,0
4,925,0,0,0,63,72,70,0,0,0,0,0,0
4,930,0,0,0,63,72,70,0,0,0,0,0,0
4,935,0,0,0,63,72,70,0,0,0,0,0,0
4,940,0,0,0,63,72,70,0,0,0,0,0,0
4,945,0,0,0,63,72,70,0,0,0,0,0,0
4,950,0,0,0,63,72,70,0,0,0,0,0,0
4,955,0,0,0,63,72,70,0,0,0,0,0,0
4,960,0,0,0,63,72,70,0,0,0,0,0,0
4,965,0,0,0,63,72,70,0,0,0,0,0,0
4,970,0,0,0,63,72,70,0,0,0,0,0,0
4,975,0,0,0,63,72,70,0,0,0,0,0,0
